Save,حفظ,
Submit,اعتماد,
Cancel,إلغاء,
Amend,تعديل,
Delete,حذف,
Duplicate,نسخ,
Edit,تعديل,
Add,إضافة,
New,جديد,
Close,إغلاق,
Back,رجوع,
Refresh,تحديث,
Search,بحث,
Print,طباعة,
Export,تصدير,
Import,استيراد,
Update,تحديث,
Create,إنشاء,
View,عرض,
Open,فتح,
Download,تنزيل,
Upload,رفع,
Preview,معاينة,
Confirm,تأكيد,
Apply,تطبيق,
Reset,إعادة ضبط,
OK,موافق,
Yes,نعم,
No,لا,
Warning,تحذير,
Error,خطأ,
Info,معلومة,
Success,تمّ بنجاح,
Loading...,جارٍ التحميل...,
Saving...,جارٍ الحفظ...,
Saved,تم الحفظ,
Are you sure?,هل أنت متأكد؟,
Failed,فشل,
Not Permitted,غير مسموح,
Not Allowed,غير مسموح,
Permission Denied,تم رفض الصلاحية,
Required,مطلوب,
Mandatory,إلزامي,
Optional,اختياري,
Read Only,للقراءة فقط,
Actions,الإجراءات,
More,المزيد,
Less,أقل,
Show,عرض,
Hide,إخفاء,
Expand,توسيع,
Collapse,طي,
All,الكل,
None,لا شيء,
Other,أخرى,
Select All,تحديد الكل,
Deselect All,إلغاء التحديد,
Save & New,حفظ وجديد,
Reload,إعادة تحميل,
Undo,تراجع,
Home,الرئيسية,
Dashboard,لوحة التحكم,
Settings,الإعدادات,
Profile,الملف الشخصي,
Logout,تسجيل الخروج,
Login,تسجيل الدخول,
Password,كلمة المرور,
New Password,كلمة المرور الجديدة,
Confirm Password,تأكيد كلمة المرور,
Change Password,تغيير كلمة المرور,
Forgot Password,نسيت كلمة المرور,
Help,المساعدة,
About,حول,
Notifications,الإشعارات,
Mark as Read,وضع علامة مقروء,
No new notifications,لا توجد إشعارات جديدة,
No records to show,لا توجد سجلات للعرض,
No data,لا توجد بيانات,
Loading,جارٍ التحميل,
Please wait...,يرجى الانتظار...,
Page not found,الصفحة غير موجودة,
Add Row,إضافة صف,
Remove Row,حذف الصف,
Move Up,نقل لأعلى,
Move Down,نقل لأسفل,
Filters,معايير التصفية,
Filter,تصفية,
Sort,ترتيب,
Group By,تجميع حسب,
Report,التقرير,
List,القائمة,
Form,النموذج,
Tree,الشجرة,
Calendar,التقويم,
Image,الصورة,
Timeline,الجدول الزمني,
Print Format,نموذج الطباعة,
Letter Head,الترويسة,
Bulk Actions,إجراءات جماعية,
Assign,تعيين,
Share,مشاركة,
Tags,العلامات,
Attachments,المرفقات,
Links,الروابط,
Comments,التعليقات,
History,السجل,
Activity,النشاط,
Submit this document,اعتماد هذه الوثيقة,
Once submitted this document will not be editable. Do you want to submit?,بعد الاعتماد لن تتمكن من تعديل هذه الوثيقة. هل تريد المتابعة؟,
Submitted documents cannot be deleted,لا يمكن حذف الوثائق المعتمدة,
Document is already cancelled,هذه الوثيقة ملغاة بالفعل,
Document {0} submitted successfully,تم اعتماد الوثيقة {0} بنجاح,
Document {0} cancelled,تم إلغاء الوثيقة {0},
Are you sure you want to cancel?,هل أنت متأكد من الإلغاء؟,
Name,الاسم,
Title,العنوان,
Description,الوصف,
Status,الحالة,
Type,النوع,
Code,الرمز,
Date,التاريخ,
Time,الوقت,
From Date,من تاريخ,
To Date,إلى تاريخ,
Start Date,تاريخ البدء,
End Date,تاريخ الانتهاء,
Posting Date,تاريخ الترحيل,
Due Date,تاريخ الاستحقاق,
Transaction Date,تاريخ المعاملة,
Invoice Date,تاريخ الفاتورة,
Order Date,تاريخ الأمر,
Delivery Date,تاريخ التسليم,
Created On,أُنشئ في,
Modified On,عُدِّل في,
Created By,أنشأ بواسطة,
Modified By,عدّل بواسطة,
Owner,المالك,
Company,الشركة,
Branch,الفرع,
Department,القسم,
Currency,العملة,
Exchange Rate,سعر الصرف,
Amount,المبلغ,
Quantity,الكمية,
Qty,الكمية,
Rate,السعر,
Net Amount,المبلغ الصافي,
Tax Amount,مبلغ الضريبة,
Total Amount,المبلغ الإجمالي,
Grand Total,المجموع الكلي,
Net Total,الإجمالي الصافي,
Total Tax,إجمالي الضريبة,
Total (Tax Exclusive),الإجمالي (بدون ضريبة),
Discount Amount,مبلغ الخصم,
Discount Percentage,نسبة الخصم,
Outstanding Amount,الرصيد المستحق,
Paid Amount,المبلغ المدفوع,
Balance Amount,الرصيد,
Advance Amount,المبلغ المقدّم,
Difference Amount,فارق المبلغ,
Base Amount,المبلغ الأساسي,
Allocated Amount,المبلغ المخصص,
Write Off Amount,مبلغ الإسقاط,
Rounded Total,الإجمالي المقرّب,
Rounding Adjustment,تعديل التقريب,
In Words,كتابةً,
Remarks,ملاحظات,
Note,ملاحظة,
Notes,الملاحظات,
Comment,تعليق,
Reference,المرجع,
Reference No,رقم المرجع,
Reference Date,تاريخ المرجع,
Series,السلسلة الرقمية,
Naming Series,سلسلة الترقيم,
Is Default,افتراضي,
Default,افتراضي,
Country,الدولة,
City,المدينة,
State,المنطقة,
Zip Code,الرمز البريدي,
Mobile No,رقم الجوال,
Mobile Number,رقم الجوال,
Phone No,رقم الهاتف,
Phone Number,رقم الهاتف,
Email ID,البريد الإلكتروني,
Email,البريد الإلكتروني,
Website,الموقع الإلكتروني,
Tax ID,الرقم الضريبي,
Fax,فاكس,
Primary Address,العنوان الرئيسي,
Billing Address,عنوان الفوترة,
Shipping Address,عنوان الشحن,
Address,العنوان,
Item Code,رمز الصنف,
Item Name,اسم الصنف,
UOM,وحدة القياس,
Price List,قائمة الأسعار,
Terms and Conditions,الشروط والأحكام,
Total,الإجمالي,
Subtotal,الإجمالي قبل الضريبة,
Tax,الضريبة,
Taxes,الضرائب,
Discount,الخصم,
Additional Discount,خصم إضافي,
Conversion Rate,معدل التحويل,
Price List Rate,سعر قائمة الأسعار,
Net Rate,السعر الصافي,
Valuation Rate,سعر التقييم,
Last Purchase Rate,آخر سعر شراء,
Profit,الربح,
Profit Margin,هامش الربح,
Cost,التكلفة,
Expense,المصروف,
Income,الإيراد,
Revenue,الإيراد,
VAT,ضريبة القيمة المضافة,
Zakat,الزكاة,
Percentage,النسبة المئوية,
Accounting,المحاسبة,
Sales,المبيعات,
Purchasing,المشتريات,
Buying,المشتريات,
Selling,المبيعات,
Stock,المخزون,
Inventory,المخزون,
Manufacturing,التصنيع,
Projects,المشاريع,
HR,الموارد البشرية,
Human Resources,الموارد البشرية,
Payroll,مسير الرواتب,
CRM,إدارة علاقات العملاء,
Assets,الأصول الثابتة,
Quality,إدارة الجودة,
Support,الدعم الفني,
E Commerce,التجارة الإلكترونية,
Education,التعليم,
Healthcare,الرعاية الصحية,
Agriculture,الزراعة,
Integrations,التكاملات,
Regional,إقليمي,
Setup,الإعداد,
Utilities,الأدوات المساعدة,
Account,الحساب,
Accounts,الحسابات,
Chart of Accounts,دليل الحسابات,
Cost Center,مركز التكلفة,
Journal Entry,قيد يومية,
Journal Entry Account,حساب القيد اليومي,
Payment Entry,قيد الدفع,
Payment Request,طلب الدفع,
Payment Schedule,جدول الدفع,
Payment Order,أمر الدفع,
Bank Account,الحساب البنكي,
Bank Reconciliation,مطابقة الحساب البنكي,
Bank Statement,كشف الحساب البنكي,
Bank Transaction,حركة بنكية,
Bank Clearance,تسوية البنك,
Sales Invoice,فاتورة المبيعات,
Purchase Invoice,فاتورة المشتريات,
Credit Note,إشعار دائن,
Debit Note,إشعار مدين,
Purchase Taxes and Charges,رسوم وضرائب المشتريات,
Sales Taxes and Charges,رسوم وضرائب المبيعات,
Tax Rule,قاعدة الضريبة,
Tax Category,فئة الضريبة,
Tax Withholding Category,فئة استقطاع الضريبة,
Fiscal Year,السنة المالية,
Budget,الميزانية التقديرية,
Trial Balance,ميزان المراجعة,
Balance Sheet,الميزانية العمومية,
Profit and Loss Statement,قائمة الدخل,
Cash Flow Statement,قائمة التدفقات النقدية,
General Ledger,دفتر الأستاذ العام,
Accounts Payable,الذمم الدائنة,
Accounts Receivable,الذمم المدينة,
Finance Book,الدفتر المالي,
Exchange Rate Revaluation,إعادة تقييم سعر الصرف,
Accounting Period,الفترة المحاسبية,
Accounting Entries,القيود المحاسبية,
Opening Entry,قيد افتتاحي,
Closing Entry,قيد إقفال,
Debit,مدين,
Credit,دائن,
Balance,الرصيد,
Opening Balance,الرصيد الافتتاحي,
Closing Balance,الرصيد الختامي,
Credit Limit,الحد الائتماني,
Write Off,إسقاط الديون,
Mode of Payment,طريقة الدفع,
Payment Gateway,بوابة الدفع,
Payment Term,شرط الدفع,
Payment Terms Template,قالب شروط الدفع,
Cheque,شيك,
Cheque / Reference No,رقم الشيك / المرجع,
Cash,نقداً,
Bank,بنك,
Wire Transfer,تحويل بنكي,
Advance Payment,دفعة مقدّمة,
Reconcile,مطابقة,
Unallocated Amount,المبلغ غير المخصص,
Advance Paid,المدفوع مقدماً,
Outstanding,المستحق,
Ledger,دفتر الأستاذ,
Petty Cash,الصندوق النثري,
Cash and Bank,النقدية والبنوك,
Liability,التزام,
Equity,حقوق الملكية,
Fixed Asset,أصل ثابت,
Current Asset,أصل متداول,
Current Liability,التزام متداول,
Non-current Asset,أصل غير متداول,
Non-current Liability,التزام غير متداول,
Receivable,ذمم مدينة,
Payable,ذمم دائنة,
Income Account,حساب الإيراد,
Expense Account,حساب المصروف,
Bank Account No,رقم الحساب البنكي,
IBAN,رقم الآيبان,
SWIFT Code,رمز السويفت,
Customer,العميل,
Customer Group,مجموعة العملاء,
Customer Type,نوع العميل,
Customer Name,اسم العميل,
Lead,العميل المحتمل,
Lead Source,مصدر العميل المحتمل,
Lead Status,حالة العميل المحتمل,
Opportunity,الفرصة البيعية,
Opportunity Type,نوع الفرصة,
Expected Closing Date,التاريخ المتوقع للإغلاق,
Quotation,عرض السعر,
Sales Order,أمر البيع,
Delivery Note,إشعار التسليم,
Sales Return,مرتجع المبيعات,
POS Invoice,فاتورة نقطة البيع,
Point of Sale,نقطة البيع,
POS Profile,ملف نقطة البيع,
POS Opening Entry,قيد فتح نقطة البيع,
POS Closing Entry,قيد إغلاق نقطة البيع,
Territory,المنطقة البيعية,
Sales Person,مندوب المبيعات,
Sales Team,فريق المبيعات,
Target,الهدف,
Commission,العمولة,
Commission Rate,نسبة العمولة,
Shipping,الشحن,
Shipping Rule,قاعدة الشحن,
Shipping Amount,مبلغ الشحن,
Contact,جهة الاتصال,
Contact Person,الشخص المسؤول,
Billing Currency,عملة الفاتورة,
Selling Price List,قائمة أسعار البيع,
Pricing Rule,قاعدة التسعير,
Promotional Scheme,مخطط ترويجي,
Coupon Code,رمز الخصم,
Loyalty Program,برنامج الولاء,
Loyalty Points,نقاط الولاء,
Terms and Conditions Template,قالب الشروط والأحكام,
Supplier,المورّد,
Supplier Group,مجموعة الموردين,
Supplier Type,نوع المورّد,
Supplier Name,اسم المورّد,
Purchase Order,أمر الشراء,
Purchase Receipt,إيصال الاستلام,
Purchase Return,مرتجع المشتريات,
Request for Quotation,طلب عروض الأسعار,
Supplier Quotation,عرض سعر المورّد,
Subcontracting Order,أمر المقاولة من الباطن,
Subcontracting Receipt,إيصال المقاولة من الباطن,
Supplier Address,عنوان المورّد,
Buying Price List,قائمة أسعار الشراء,
Material Request,طلب الشراء الداخلي,
Purchase Taxes and Charges Template,قالب رسوم وضرائب المشتريات,
Item,الصنف,
Items,الأصناف,
Item Group,مجموعة الأصناف,
Item Variant,متغير الصنف,
Item Attribute,خصائص الصنف,
Item Attribute Value,قيم خصائص الصنف,
Item Price,سعر الصنف,
Item Tax,ضريبة الصنف,
Item Tax Template,قالب ضريبة الصنف,
Is Stock Item,صنف مخزني,
Is Fixed Asset,أصل ثابت,
Has Serial No,له رقم تسلسلي,
Has Batch No,له رقم دفعة,
Stock Item,صنف مخزني,
Non Stock Item,صنف غير مخزني,
Warehouse,المستودع,
Warehouse Type,نوع المستودع,
Stock Entry,قيد المخزون,
Stock Reconciliation,مطابقة المخزون,
Stock Ledger Entry,قيد دفتر أستاذ المخزون,
Repost Item Valuation,إعادة ترحيل تقييم الصنف,
Serial No,الرقم التسلسلي,
Batch,الدفعة,
Batch No,رقم الدفعة,
UOM Conversion Factor,معامل تحويل وحدة القياس,
Bin,بيانات المستودع,
Packing Slip,إشعار التعبئة,
Delivery Trip,رحلة التسليم,
Quality Inspection,فحص الجودة,
Putaway Rule,قاعدة التخزين,
Reorder Level,مستوى إعادة الطلب,
Reorder Qty,كمية إعادة الطلب,
Reserved Qty,الكمية المحجوزة,
Actual Qty,الكمية الفعلية,
Projected Qty,الكمية المتوقعة,
Opening Qty,الكمية الافتتاحية,
Incoming Qty,الكمية الواردة,
Outgoing Qty,الكمية الصادرة,
Balance Qty,رصيد الكمية,
Moving Average,المتوسط المتحرك,
FIFO,أولاً يدخل أولاً يخرج,
LIFO,أخيراً يدخل أولاً يخرج,
Stock Value,قيمة المخزون,
Item Valuation,تقييم الصنف,
Landed Cost,التكاليف الواصلة,
Landed Cost Voucher,سند التكاليف الواصلة,
Goods Receipt,إيصال استلام البضاعة,
Material Transfer,تحويل داخلي,
Material Issue,صرف مخزون,
Material Receipt,استلام مخزون,
Manufacture,تصنيع,
Repack,إعادة تعبئة,
Send to Subcontractor,تسليم للمقاول من الباطن,
Manufacture Entry,قيد تصنيع,
Stock Balance,رصيد المخزون,
Minimum Order Qty,الحد الأدنى لكمية الطلب,
Expire On,تاريخ انتهاء الصلاحية,
Expiry Date,تاريخ انتهاء الصلاحية,
Bill of Materials,قائمة مواد الإنتاج,
BOM,قائمة مواد الإنتاج,
Work Order,أمر الإنتاج,
Production Plan,خطة الإنتاج,
Routing,مسار الإنتاج,
Workstation,محطة العمل,
Operation,عملية التصنيع,
Job Card,بطاقة الإنتاج,
Scrap,مهملات التصنيع,
Finished Good,المنتج النهائي,
Raw Material,المادة الخام,
Semi Finished Good,المنتج نصف المصنّع,
By Product,المنتج الثانوي,
Manufacturing Settings,إعدادات التصنيع,
BOM Level,مستوى القائمة في التصنيع,
Workstation Type,نوع محطة العمل,
Operating Cost,تكلفة التشغيل,
Fixed Time,الوقت الثابت,
Cycle Time,زمن الدورة,
Employee,الموظف,
Employee Group,مجموعة الموظفين,
Employee Type,نوع التوظيف,
Employment Type,نوع التوظيف,
Designation,المسمى الوظيفي,
Grade,الدرجة الوظيفية,
Holiday,الإجازة الرسمية,
Holiday List,قائمة الإجازات الرسمية,
Leave Type,نوع الإجازة,
Leave Allocation,تخصيص رصيد الإجازات,
Leave Application,طلب الإجازة,
Leave Policy,سياسة الإجازات,
Leave Policy Assignment,تعيين سياسة الإجازات,
Leave Encashment,استبدال الإجازة بمكافأة,
Comp Off,إجازة مقابل العمل,
Leave Balance,رصيد الإجازات,
Earned Leave,إجازات مكتسبة,
Annual Leave,إجازة سنوية,
Sick Leave,إجازة مرضية,
Casual Leave,إجازة عارضة,
Maternity Leave,إجازة الأمومة,
Paternity Leave,إجازة الأبوة,
Unpaid Leave,إجازة بدون مرتب,
Emergency Leave,إجازة طارئة,
Attendance,الحضور والغياب,
Attendance Request,طلب تسجيل الحضور,
Shift Type,نوع الوردية,
Shift Request,طلب الوردية,
Employee Checkin,تسجيل حضور الموظف,
Payroll Entry,مسير الرواتب,
Salary Slip,قسيمة الراتب,
Salary Structure,هيكل الراتب,
Salary Structure Assignment,تعيين هيكل الراتب,
Salary Component,مكوّن الراتب,
Payroll Period,فترة الرواتب,
Additional Salary,مكافأة إضافية,
Employee Benefit Application,طلب مزايا الموظف,
Employee Benefit Claim,مطالبة مزايا الموظف,
Employee Tax Exemption Declaration,إقرار الإعفاء الضريبي للموظف,
Retention Bonus,مكافأة الاحتفاظ,
Appraisal,تقييم الأداء,
Appraisal Cycle,دورة تقييم الأداء,
Key Result Area,مجال النتائج الرئيسية,
Training Event,حدث تدريبي,
Training Result,نتيجة التدريب,
Expense Claim,مطالبة المصروفات,
Expense Claim Type,نوع مطالبة المصروفات,
Travel Request,طلب سفر,
Job Opening,وظيفة شاغرة,
Job Applicant,متقدم للوظيفة,
Job Offer,عرض التوظيف,
Interview,مقابلة التوظيف,
Interview Type,نوع المقابلة,
Staffing Plan,خطة التوظيف,
Grievance,شكوى,
Employee Promotion,ترقية الموظف,
Employee Transfer,نقل الموظف,
Employee Separation,إنهاء خدمة الموظف,
Full and Final Settlement,التسوية النهائية والكاملة,
Basic Salary,الراتب الأساسي,
Housing Allowance,بدل السكن,
Transportation Allowance,بدل النقل,
Phone Allowance,بدل الهاتف,
Food Allowance,بدل الطعام,
Annual Bonus,المكافأة السنوية,
GOSI,التأمينات الاجتماعية,
End of Service,مكافأة نهاية الخدمة,
Gratuity,مكافأة الخدمة,
Deduction,خصم,
Earning,استحقاق,
Gross Pay,إجمالي الراتب,
Net Pay,صافي الراتب,
Joining Date,تاريخ التعيين,
Date of Birth,تاريخ الميلاد,
Date of Joining,تاريخ التعيين,
Date of Retirement,تاريخ التقاعد,
Relieving Date,تاريخ إنهاء الخدمة,
Employment Details,تفاصيل التوظيف,
Personal Details,البيانات الشخصية,
Attendance Status,حالة الحضور,
Working Days,أيام العمل,
Present Days,أيام الحضور,
Absent Days,أيام الغياب,
Total Working Days,إجمالي أيام العمل,
Probationary Period,فترة الاختبار,
Notice Period,فترة الإشعار,
Salary Date,تاريخ صرف الراتب,
Campaign,الحملة التسويقية,
Email Campaign,الحملة البريدية,
Newsletter,النشرة الإخبارية,
Prospect,العميل المرتقب,
Appointment,الموعد,
Reminder,التذكير,
Project,المشروع,
Task,المهمة,
Timesheet,سجل الوقت,
Activity Type,نوع النشاط,
Billable Hours,الساعات القابلة للفوترة,
Project Status,حالة المشروع,
Project Type,نوع المشروع,
Expected Start Date,تاريخ البدء المتوقع,
Expected End Date,تاريخ الانتهاء المتوقع,
Actual Start Date,تاريخ البدء الفعلي,
Actual End Date,تاريخ الانتهاء الفعلي,
Milestone,مرحلة رئيسية,
Depends On,يعتمد على,
Hours,ساعات,
Is Billable,قابل للفوترة,
Asset,الأصل الثابت,
Asset Category,فئة الأصول الثابتة,
Asset Maintenance,صيانة الأصل الثابت,
Asset Maintenance Log,سجل صيانة الأصل الثابت,
Asset Movement,حركة الأصل الثابت,
Asset Repair,إصلاح الأصل الثابت,
Asset Value Adjustment,تعديل قيمة الأصل الثابت,
Depreciation,الإهلاك,
Depreciation Method,طريقة الإهلاك,
Straight Line Method,طريقة القسط الثابت,
Double Declining Balance,طريقة القسط المتناقص,
Written Down Value,القيمة المستهلكة,
Manual,يدوي,
Accumulated Depreciation,الإهلاك المتراكم,
Book Value,القيمة الدفترية,
Gross Purchase Amount,قيمة الشراء الإجمالية,
Salvage Value,القيمة التخريدية,
Total Number of Depreciations,إجمالي دفعات الإهلاك,
Useful Life (in months),العمر الإنتاجي (بالأشهر),
Asset Location,موقع الأصل الثابت,
Custodian,المسؤول عن الأصل,
Quality Inspection Parameter,معامل فحص الجودة,
Quality Inspection Reading,قراءة فحص الجودة,
Quality Meeting,اجتماع الجودة,
Quality Procedure,إجراء الجودة,
Quality Review,مراجعة الجودة,
Non Conformance,عدم المطابقة,
Corrective Action,الإجراء التصحيحي,
Preventive Action,الإجراء الوقائي,
Quality Action,إجراء الجودة,
Quality Feedback,ملاحظات الجودة,
Quality Goal,هدف الجودة,
Issue,التذكرة,
Service Level Agreement,اتفاقية مستوى الخدمة,
Response Time,زمن الاستجابة,
Resolution Time,زمن الحل,
Priority,الأولوية,
Urgent,عاجل,
High,مرتفع,
Medium,متوسط,
Low,منخفض,
User,المستخدم,
Role,الدور,
Permission,الصلاحية,
DocType,نوع المستند,
Workspace,مساحة العمل,
Page,الصفحة,
Workflow,سير العمل,
Workflow State,حالة سير العمل,
Workflow Action,إجراء سير العمل,
Email Account,حساب البريد الإلكتروني,
Email Template,قالب البريد الإلكتروني,
Notification,الإشعار,
Notification Log,سجل الإشعارات,
Custom Field,حقل مخصص,
Customize Form,تخصيص النموذج,
System Settings,إعدادات النظام,
Global Defaults,الإعدادات الافتراضية العامة,
Language,اللغة,
Time Zone,المنطقة الزمنية,
Date Format,تنسيق التاريخ,
Number Format,تنسيق الأرقام,
Backup,نسخة احتياطية,
Error Log,سجل الأخطاء,
Access Log,سجل الوصول,
Activity Log,سجل النشاط,
Data Import,استيراد البيانات,
Data Export,تصدير البيانات,
Draft,مسودة,
Submitted,معتمد,
Cancelled,ملغي,
Closed,مغلق,
In Progress,قيد التنفيذ,
Completed,مكتمل,
Pending,قيد الانتظار,
Approved,موافق عليه,
Rejected,مرفوض,
To Do,للتنفيذ,
On Hold,موقوف مؤقتاً,
Overdue,متأخر,
Active,نشط,
Inactive,غير نشط,
Expired,منتهي الصلاحية,
Issued,صادر,
Received,مستلم,
Not Started,لم يبدأ بعد,
Partially Ordered,مُوَرَّد جزئياً,
Fully Ordered,مُوَرَّد بالكامل,
To Bill,للفوترة,
To Deliver,للتسليم,
To Deliver and Bill,للتسليم والفوترة,
To Receive,للاستلام,
To Receive and Bill,للاستلام والفوترة,
Paid,مدفوع,
Unpaid,غير مدفوع,
Partially Paid,مدفوع جزئياً,
Return,مُرجَع,
Debit Note Issued,تم إصدار إشعار المدين,
Credit Note Issued,تم إصدار إشعار الدائن,
Present,حاضر,
Absent,غائب,
Half Day,نصف يوم,
Work From Home,عمل من المنزل,
Annual Report,التقرير السنوي,
Balance Sheet Report,تقرير الميزانية العمومية,
Accounts Receivable Summary,ملخص الذمم المدينة,
Accounts Payable Summary,ملخص الذمم الدائنة,
Stock Balance Report,تقرير رصيد المخزون,
Stock Ledger Report,تقرير دفتر أستاذ المخزون,
Purchase Order Analysis,تحليل أوامر الشراء,
Sales Order Analysis,تحليل أوامر البيع,
Employee Leave Balance,رصيد إجازات الموظفين,
Salary Register,سجل الرواتب,
Monthly Attendance Sheet,كشف الحضور الشهري,
Gross Profit,إجمالي الربح,
Profit and Loss,الأرباح والخسائر,
Cash Flow,التدفق النقدي,
Item-wise Sales Register,سجل المبيعات حسب الصنف,
Item-wise Purchase Register,سجل المشتريات حسب الصنف,
Customer-wise Sales Register,سجل المبيعات حسب العميل,
Supplier-wise Purchase Register,سجل المشتريات حسب المورّد,
Purchase Analytics,تحليلات المشتريات,
Sales Analytics,تحليلات المبيعات,
Inventory Dimension,بُعد المخزون,
